,exercise
474,lateral lunges
475,bodyweight skullcrushers
476,week 5
477,stair jumps
478,superset  incline dumbbell bench press
479,ghr
480,clean and jerk
481,closegrip machine presses
482,dumbbell preacher curl
483,foam roll
484,front foot elevated split squat
485,tricep dips 
486,rear lunge
487,bent leg raises
488,wide grip pulldowns to rear
489,dumbbell military press
490,one arm cable curl
491,lying incline dumbbell extension
492,diamond pushup
493,barbell hip thrust
494,overhead smith machine press
495,calf raises 
496,front press
497,glute kickbacks
498,dumbbell reverse fly
499,dumbbell skullcrushers or tricep extensions
500,chest dip
501,banded row
502,one arm upright row
503,reverse lunge 
504,reverse wrist curls
505,fat percentage burned
506,2 chest exercises of choice
507,incline cable pushouts
508,tricep press down
509,overhead cable tricep extension
510,machine chest press  warmup 80
511,single leg press or walking lunge
512,dumbbell bent over side raise
513,butt kick jumps
514,deadlifts  70
515,lateral raise machine
516,face pulls
517,pause pullups
518,wide grip pull ups
519,rope press down
520,standing dumbbell shoulder press
521,waiter walks
522,overhead dumbbell extension
523,stretch push up on risers
524,seated dip machine
525,incline barbell bench press  warmup 70
526,barbell rollout
527,concentration curls
528,pull ups or lat pull down or t bar row
529,zottoman hand curl
530,ab wheel or barbell rollouts
531,standing overhead dumbbell press
532,jabcross combo
533,week 9
534,military press variation  standing or seated
535,band push down
536,1 leg leg press
537,seated twoarm overhead extension
538,bent over rear delt fly
539,neutral grip lat pull down
540,glute ham raise superset
541,dumbbell underhand raises
542,plantar fascia w lacrosse ball
543,superset standing calf raise and seated calf raise 310 rest 3045 seconds between moves and 6075 seconds between rounds
544,bentover dumbbell row
545,seated wrist curls
546,feet elevated plank
547,incline barbell bench press  working sets
548,standing alternate bicep curl
549,bench dips
550,plank to hip raise
551,cable biceps curl
552,deadlift
553,1 leg elevated calf raise
554,dumbbell snatch 
555,heels elevated barbell squat
556,pushdowns
557,close grip bench presses
558,underhand seated cable row
559,dumbbell tricep extension
560,romanian deadlift  rest 90 seconds between sets
561,bent over single arm kettlebell row
562,cross leg squat
563,seated crunch
564,paused deadlift
565,lower body activation flow
566,superset lat pull down  seated row
567,back extensions  45 degrees
568,leg curl  burn
569,seated dumbbell press  warmup 70
570,burpee
571,crunch
572,tall kneeling medicine ball side pass
573,standing walk out  walk in
574,squat thrusts
575,smith machine narrow stance squat
576,dumbbell jump squat
577,tighten the core
578,ab crunches
579,dumbbell lat raise
580,db walking lunge
581,squats use the same weight as your heaviest set on monday
582,superset alternating dumbbell press and wide banded upright row
583,facing away lat pulldown
584,single arm dumbbell overhead press 
585,overhead tricep extension
586,bent over reverse dumbbell fly
587,seated one arm overhead dumbbell extension
